Meter	Temperature	Radiation
8738754,217	27,21433437	1089,630534
8739420,871	27,29878082	1098,638997
8740088,592	27,45120987	1105,773509
8740755,556	27,78446356	1109,224365
8741420,922	27,96469903	1109,628703
8742085,292	28,00519595	1107,392303
8742752,521	28,2125065	1103,906942
8743419,903	28,34238811	1098,528239
8744087,094	28,39958409	1091,252482
8744755,08	28,49305637	1082,705485
8745421,87	28,55187925	1071,663615
8746087,322	28,38689458	1058,070374
8746752,717	28,73819533	1042,866903
8747419,08	28,7829295	1025,309469
8748086,215	28,87322205	1005,380641
8748752,122	29,03880009	983,7369995
8749418,903	28,89172452	960,2045898
8750086,363	29,2579494	934,7431488
8750751,417	28,83478055	907,3253174
8751417,605	29,1052153	878,3049927
8752084,987	29,09339344	847,7821706
8752750,324	29,05793707	815,9029338
8753416,144	29,1479886	781,9897868
8754083,091	29,0833594	746,0718282
8754751,838	29,18585375	708,9720459
8755417,827	29,08401555	671,0794678
8756081,406	29,10247389	632,1873016
8756748,87	29,07953117	590,8725586
8757415,595	28,85194921	548,8641866
8758081,107	28,7956966	506,4415639
8758747,663	28,61814164	463,2726339
8759414,688	28,43316879	419,7839559
8760082,107	28,24989696	376,1670965
8760750,118	28,01067256	332,9533285
8761412,907	27,80208265	290,0896657
8762049,357	27,52629001	247,617171
8762559,705	27,26006766	205,7941437
8762947,24	27,01843952	165,3414993
8763214,762	26,62586126	126,5274601
8763372,99	26,22678111	89,97222137
8763478,864	25,76948895	59,7254982
8763546,982	25,36613785	37,16873217
8763593,399	24,77860893	25,1594162
8763620,533	24,03658761	15,2182347
8763630,567	23,55170145	6,325988928
8763632	23,248662	1,866000807
8763632	22,82354447	0,003574367
8763632	22,16696816	0,000446796
8763632	21,72095043	0
8763632	21,36835878	0
8763632	21,20634516	0
8763632	21,1290199	0
8763632	20,90998145	0
8763632	20,71145348	0
8763632	20,60569103	0
8763632	20,57396426	0
8763632	20,45782079	0
8763632	20,48415286	0
8763632	20,76023891	0
8763632	20,83635194	0
8763632	20,55342284	0
8763632	20,3420961	0
8763632	20,06465	0
8763632	19,95326509	0
8763632	19,82407825	0
8763632	19,7129515	0
8763632	19,63899213	0
8763632	19,44720872	0
8763632	19,35033907	0
8763632	19,2867932	0
8763632	19,28296829	0
8763632	19,29984726	0
8763632	19,30260639	0
8763632	19,37741212	0
8763632	19,22322984	0
8763632	19,14354976	0
8763632	19,03071691	0
8763632	18,68337543	0
8763632	18,57542778	0
8763632	18,4632305	0
8763632	18,4246934	0
8763632	18,36544013	0
8763632	18,37614595	0
8763632	18,27025449	0
8763632	18,07499154	0
8763632	17,97872345	0
8763632	18,09719973	0
8763632	18,20807694	0
8763632	18,1742487	0
8763632	18,01423945	0
8763632	17,88203535	0
8763632	17,63748606	0
8763632	17,44280015	0
8763632	17,17324949	0
8763632	16,93868994	0
8763632	16,61410944	0
8763632	16,3349647	0
8763632	16,32208414	0
8763632	16,09737594	0
8763632	15,83101298	0
8763632	15,87879577	0
8763632	15,76857582	0
8763632	15,49459399	0
8763632	15,41419818	0
8763632	15,48581582	0
8763632	15,56353734	0
8763632	15,49757174	0
8763632,6	15,4927668	0,266515732
8763636,8	15,58045401	2,132125854
8763660	15,65785134	7,905450821
8763708,732	15,90089376	17,92254575
8763800,262	16,17063492	31,55506579
8763985,122	16,59995098	54,4214859
8764258,713	16,88005082	82,19825331
